Employment_Type,Education_Level,Income,Credit_Score,Existing_Debt,Marital_Status,Loan_Purpose,Loan_status
Self-Employed,Masters,32649,753,134043,Single,Medical,No
Unemployed,Degree,242988,379,142828,Married,School,Yes
Employed,Diploma,374809,391,114876,Divorced,House,No
Business Owner,Degree,368272,320,113989,Single,Medical,Yes
Unemployed,Diploma,263848,714,80642,Single,House,Yes
Business Owner,Masters,477693,375,77508,Married,School,Yes
Unemployed,Secondary,488991,537,95064,Single,Business,Yes
Business Owner,Diploma,226989,594,52640,Single,School,Yes
Self-Employed,Secondary,47887,718,26356,Divorced,House,No
Employed,Secondary,224301,327,139885,Divorced,Business,No
Unemployed,Diploma,86792,764,182624,Married,Car,No
Unemployed,Diploma,274238,497,115878,Single,Car,Yes
Employed,Secondary,476818,649,119036,Single,Medical,Yes
Employed,Diploma,476317,513,137481,Divorced,Medical,Yes
Employed,Secondary,447647,520,199207,Divorced,Car,Yes
Business Owner,Diploma,194119,725,132316,Married,House,No
Unemployed,Diploma,44875,844,199243,Married,School,No
Self-Employed,Masters,472843,837,172362,Divorced,Medical,No
Self-Employed,Diploma,391375,327,104855,Divorced,Medical,No
Unemployed,Degree,398689,496,167060,Divorced,Medical,Yes
Self-Employed,Secondary,324482,405,172774,Single,School,No
Business Owner,Masters,33854,420,62661,Divorced,Business,No
Business Owner,Masters,419827,595,113362,Married,Business,Yes
Self-Employed,Secondary,314240,756,44139,Divorced,Business,Yes
Employed,Secondary,127652,716,67546,Single,House,Yes
Self-Employed,Diploma,59399,670,95717,Single,Business,No
Employed,Masters,438492,599,52107,Divorced,School,Yes
Business Owner,Diploma,497162,595,45268,Divorced,Car,Yes
Employed,Degree,58256,608,139995,Divorced,Business,Yes
Self-Employed,Diploma,330978,314,91978,Divorced,Medical,No
Employed,Masters,409535,322,57268,Single,Car,No
Business Owner,Masters,391983,786,52884,Divorced,Medical,Yes
Unemployed,Masters,336388,527,21511,Divorced,Medical,Yes
Unemployed,Masters,92078,682,172207,Divorced,House,No
Self-Employed,Diploma,342550,370,144432,Divorced,School,No
Unemployed,Masters,275194,409,107835,Single,Car,No
Business Owner,Diploma,268034,550,84333,Divorced,Car,Yes
Employed,Diploma,180608,330,40930,Single,House,No
Unemployed,Diploma,226193,476,29276,Divorced,House,No
Unemployed,Diploma,185944,521,159847,Divorced,Car,No
Self-Employed,Masters,267981,435,141130,Single,School,No
Unemployed,Degree,496619,822,148249,Divorced,Car,Yes
Unemployed,Masters,115649,660,42861,Married,School,Yes
Business Owner,Secondary,370822,402,179141,Divorced,Medical,No
Unemployed,Secondary,277479,470,149567,Single,Car,No
Unemployed,Secondary,319332,433,158310,Divorced,Car,No
Unemployed,Masters,84963,794,10497,Divorced,House,Yes
Business Owner,Degree,145562,733,147364,Married,Business,Yes
Employed,Masters,181118,300,148673,Married,House,No
Unemployed,Diploma,259837,352,107400,Single,Car,No
Self-Employed,Masters,392278,632,46269,Single,House,Yes
Employed,Masters,36367,486,70311,Single,Business,Yes
Business Owner,Diploma,51839,506,99279,Single,Car,No
Unemployed,Degree,363156,671,84479,Divorced,Medical,Yes
Self-Employed,Masters,335962,586,69718,Divorced,Business,Yes
Unemployed,Secondary,320080,752,161736,Divorced,Medical,No
Self-Employed,Secondary,55854,735,131790,Divorced,Car,No
Self-Employed,Diploma,338189,727,42764,Single,House,Yes
Self-Employed,Diploma,192277,341,75788,Married,House,Yes
Employed,Masters,175625,760,99301,Divorced,Medical,Yes
Business Owner,Masters,236152,842,175789,Divorced,Business,No
Unemployed,Diploma,105563,781,100015,Divorced,Car,Yes
Business Owner,Masters,289331,608,191516,Single,Medical,No
Business Owner,Secondary,186982,830,46646,Single,House,Yes
Business Owner,Masters,434826,843,183943,Married,Business,No
Unemployed,Degree,42102,668,80801,Married,House,Yes
Self-Employed,Diploma,361857,441,188241,Single,School,No
Business Owner,Diploma,114261,516,186891,Single,School,No
Employed,Masters,161320,529,136536,Married,Car,Yes
Self-Employed,Masters,360650,692,85227,Married,Medical,Yes
Employed,Diploma,223767,692,182748,Divorced,Car,Yes
Business Owner,Diploma,436462,679,147121,Divorced,Car,No
Employed,Degree,353878,301,65085,Single,School,Yes
Employed,Secondary,414622,821,151944,Single,Car,Yes
Unemployed,Secondary,227740,338,70309,Single,Car,No
Self-Employed,Degree,49880,733,142088,Single,Car,No
Self-Employed,Degree,48778,483,12546,Single,School,No
Employed,Secondary,221172,461,18661,Divorced,Car,Yes
Unemployed,Secondary,46547,838,50305,Married,School,Yes
Employed,Masters,353837,642,64427,Divorced,Business,Yes
Employed,Degree,431422,849,68539,Single,House,Yes
Self-Employed,Masters,127511,829,154793,Divorced,School,No
Employed,Diploma,451265,395,74725,Divorced,Business,No
Self-Employed,Diploma,75788,583,140507,Divorced,Business,No
Self-Employed,Secondary,347689,795,150613,Married,Car,No
Business Owner,Masters,44000,554,50055,Single,Medical,No
Unemployed,Masters,406421,849,91937,Single,House,Yes
Business Owner,Degree,148552,594,27549,Single,Car,Yes
Business Owner,Degree,362098,796,72071,Married,School,Yes
Business Owner,Masters,312942,395,51811,Single,School,No
Business Owner,Diploma,254798,593,61021,Single,Business,Yes
Employed,Degree,70524,677,170651,Divorced,House,Yes
Business Owner,Secondary,324801,573,183146,Single,Car,No
Self-Employed,Diploma,50275,649,88430,Single,School,No
Business Owner,Secondary,193852,717,129679,Divorced,Medical,No
Self-Employed,Diploma,446489,596,64645,Divorced,Medical,Yes
Business Owner,Secondary,288038,818,93559,Divorced,House,Yes
Unemployed,Secondary,130396,465,111676,Married,Business,No
Business Owner,Degree,211271,715,187914,Single,Business,Yes
Employed,Secondary,226878,747,146733,Married,Business,Yes
Employed,Degree,273100,558,145461,Married,Business,Yes
Business Owner,Secondary,211330,790,118885,Married,Car,Yes
Unemployed,Diploma,227319,330,62198,Married,Business,Yes
Employed,Masters,309493,447,60079,Married,Business,Yes
Employed,Diploma,461028,646,179803,Married,House,Yes
Unemployed,Diploma,59073,673,69632,Married,Business,Yes
Self-Employed,Degree,438680,824,87221,Single,Car,Yes
Unemployed,Secondary,36236,528,122641,Divorced,Medical,No
Employed,Secondary,323461,398,91129,Married,School,Yes
Unemployed,Masters,70229,383,57985,Divorced,House,No
Self-Employed,Diploma,163066,457,2804,Married,Medical,Yes
Self-Employed,Masters,300001,396,53242,Married,Car,Yes
Self-Employed,Diploma,151308,809,188305,Single,Medical,No
Business Owner,Secondary,317329,749,140147,Married,Car,No
Self-Employed,Diploma,177026,673,133446,Married,House,No
Self-Employed,Secondary,49304,484,122673,Divorced,House,No
Self-Employed,Masters,455873,497,128828,Single,Business,No
Self-Employed,Secondary,344839,398,160668,Divorced,School,No
Unemployed,Diploma,160233,755,192625,Divorced,Medical,No
Unemployed,Degree,193226,683,76837,Married,House,Yes
Business Owner,Degree,395254,780,149269,Divorced,Medical,Yes
Self-Employed,Secondary,267370,819,87648,Single,House,Yes
Self-Employed,Secondary,439565,655,145629,Married,House,No
Employed,Diploma,451804,327,75550,Divorced,Medical,No
Employed,Masters,362997,445,120335,Single,Car,No
Unemployed,Degree,103508,809,161941,Married,Car,Yes
Business Owner,Masters,287447,799,175848,Married,Car,No
Unemployed,Masters,220069,400,179643,Divorced,Business,No
Employed,Degree,96688,507,111699,Divorced,House,Yes
Employed,Degree,259431,513,190829,Divorced,Car,Yes
Self-Employed,Masters,420620,422,55381,Divorced,Business,No
Business Owner,Degree,210900,849,133624,Married,Medical,Yes
Self-Employed,Secondary,434289,574,264,Single,School,Yes
Employed,Diploma,370770,376,191066,Single,Car,No
Employed,Secondary,155915,771,182074,Married,Business,Yes
Unemployed,Diploma,217883,601,11212,Single,Medical,Yes
Business Owner,Masters,129970,699,189977,Married,Medical,No
Self-Employed,Degree,55931,821,63971,Divorced,Business,No
Unemployed,Masters,31482,356,83660,Divorced,Car,No
Business Owner,Secondary,43144,373,107794,Single,Car,No
Employed,Diploma,161390,753,37124,Divorced,House,Yes
Unemployed,Degree,251449,377,166584,Divorced,School,Yes
Self-Employed,Diploma,271771,835,176697,Single,Car,No
Unemployed,Secondary,162795,632,52004,Married,Business,Yes
Self-Employed,Degree,240218,440,132453,Divorced,Medical,Yes
Self-Employed,Masters,456155,661,196159,Married,Medical,No
Unemployed,Masters,237059,645,76917,Divorced,House,Yes
Business Owner,Secondary,262131,672,196774,Divorced,Business,No
Business Owner,Degree,496428,433,34097,Married,Business,Yes
Unemployed,Secondary,221998,409,154711,Single,Business,No
Employed,Degree,449830,435,72910,Married,House,Yes
Employed,Degree,117232,656,179145,Married,Business,Yes
Self-Employed,Degree,94189,761,71435,Divorced,Medical,Yes
Self-Employed,Diploma,285906,704,53675,Single,Car,Yes
Business Owner,Degree,44409,738,140135,Single,Business,No
Self-Employed,Masters,264182,507,144041,Single,Car,No
Self-Employed,Degree,51892,706,130422,Single,Business,No
Business Owner,Secondary,201326,602,121638,Married,Car,No
Unemployed,Secondary,143174,786,132962,Married,Car,No
Employed,Degree,470796,776,167514,Single,House,Yes
Self-Employed,Masters,397640,701,72561,Divorced,Business,Yes
Business Owner,Diploma,201894,660,73126,Married,Medical,Yes
Business Owner,Diploma,467274,783,95361,Divorced,House,Yes
Unemployed,Degree,490772,467,69574,Married,Car,Yes
Unemployed,Diploma,100797,827,88851,Divorced,Car,Yes
Self-Employed,Masters,469913,472,128030,Married,House,No
Self-Employed,Masters,409990,395,92776,Married,School,Yes
Unemployed,Secondary,30078,829,169145,Married,Business,No
Business Owner,Secondary,71132,340,48220,Single,School,No
Self-Employed,Secondary,302336,491,15499,Married,School,Yes
Self-Employed,Masters,422978,644,40363,Divorced,Business,Yes
Unemployed,Secondary,363684,460,129854,Divorced,Car,No
Unemployed,Masters,387121,762,159422,Married,Car,No
Self-Employed,Secondary,153796,794,161045,Married,School,No
Self-Employed,Degree,264187,553,91850,Single,House,Yes
Business Owner,Degree,177044,736,54479,Divorced,Business,Yes
Employed,Degree,115198,642,126447,Single,House,Yes
Unemployed,Masters,231754,699,184006,Divorced,Medical,No
Employed,Masters,213633,363,126711,Married,Car,No
Self-Employed,Degree,450046,796,23043,Married,Business,Yes
Business Owner,Masters,471129,410,85647,Single,Car,No
Unemployed,Degree,464296,366,95468,Married,Medical,Yes
Unemployed,Secondary,181228,766,182674,Married,Business,No
Employed,Masters,359126,778,181668,Single,Medical,Yes
Employed,Degree,343911,463,83683,Married,House,Yes
Business Owner,Diploma,494054,305,168427,Married,House,No
Self-Employed,Secondary,353027,381,2903,Married,Business,Yes
Unemployed,Masters,481401,736,118669,Single,House,Yes
Business Owner,Diploma,224884,310,17495,Single,House,No
Business Owner,Secondary,258630,704,27803,Married,Car,Yes
Self-Employed,Diploma,95520,817,111981,Married,Car,Yes
Employed,Degree,402485,611,22900,Married,House,Yes
Unemployed,Secondary,301922,404,133570,Married,Medical,No
Unemployed,Masters,199141,703,17293,Single,Car,Yes
Self-Employed,Diploma,310162,820,93483,Married,House,Yes
Unemployed,Masters,371412,827,187518,Single,School,No
Business Owner,Secondary,50771,589,142704,Single,Business,No
Business Owner,Masters,336738,689,85874,Single,House,Yes
Unemployed,Degree,41995,508,199419,Single,Medical,No
Employed,Diploma,194558,416,184420,Divorced,School,No
Employed,Degree,165845,502,153368,Single,Medical,Yes
Self-Employed,Diploma,149967,535,9042,Married,Medical,Yes
Self-Employed,Secondary,43490,515,115166,Single,Car,No
Business Owner,Degree,38082,555,131373,Married,Car,No
Employed,Masters,324037,823,172062,Divorced,School,Yes
Employed,Masters,380425,824,108167,Single,School,Yes
Self-Employed,Diploma,131676,305,21269,Married,Business,Yes
Unemployed,Masters,211138,595,110855,Divorced,Medical,Yes
Employed,Masters,307731,668,65961,Married,Car,Yes
Unemployed,Masters,40767,681,158125,Single,School,No
Self-Employed,Masters,491392,694,111329,Single,Car,Yes
Unemployed,Masters,310054,458,131396,Single,Medical,No
Employed,Masters,323066,685,165089,Divorced,Car,Yes
Business Owner,Diploma,348433,420,69819,Single,School,No
Employed,Masters,174072,571,172367,Divorced,School,Yes
Business Owner,Masters,472994,597,43036,Divorced,Business,Yes
Employed,Secondary,259286,683,149454,Married,House,Yes
Employed,Masters,369237,792,111312,Divorced,Business,Yes
Unemployed,Masters,94081,809,138920,Single,House,No
Self-Employed,Secondary,359231,482,156031,Divorced,House,No
Self-Employed,Masters,198765,828,134985,Divorced,School,No
Business Owner,Masters,58080,318,147025,Divorced,Medical,No
Unemployed,Secondary,262460,626,54546,Single,School,Yes
Business Owner,Diploma,285069,835,119870,Divorced,Business,Yes
Employed,Degree,86235,504,92977,Married,Car,Yes
Employed,Degree,82709,831,78299,Divorced,Car,Yes
Self-Employed,Degree,139838,606,177555,Divorced,Business,Yes
Self-Employed,Secondary,254127,701,198604,Divorced,Business,No
Self-Employed,Masters,479357,656,81988,Married,School,Yes
Unemployed,Diploma,178292,364,150103,Divorced,Car,No
Business Owner,Masters,98006,327,179022,Married,House,No
Employed,Degree,128380,828,108968,Single,Business,Yes
Business Owner,Diploma,444500,672,12418,Single,Medical,Yes
Self-Employed,Diploma,254842,759,136767,Single,School,No
Unemployed,Diploma,319917,554,18917,Divorced,Car,Yes
Employed,Secondary,230933,441,128228,Single,Business,No
Business Owner,Diploma,244183,572,65911,Single,Medical,Yes
Business Owner,Diploma,43205,779,122914,Single,House,No
Unemployed,Degree,185698,356,51911,Divorced,Business,Yes
Business Owner,Diploma,480901,578,45001,Divorced,Medical,Yes
Business Owner,Diploma,140497,460,101951,Divorced,School,No
Self-Employed,Masters,365109,537,196811,Single,Car,No
Unemployed,Diploma,133027,659,123698,Married,Car,No
Employed,Degree,498327,634,62750,Divorced,House,Yes
Business Owner,Diploma,34098,578,152873,Single,Medical,No
Unemployed,Degree,98821,781,165676,Single,School,Yes
Unemployed,Diploma,94249,754,43857,Divorced,Business,Yes
Business Owner,Secondary,253955,712,97116,Divorced,Medical,Yes
Business Owner,Degree,276058,439,151944,Divorced,School,Yes
Unemployed,Secondary,186288,674,61190,Divorced,Medical,Yes
Employed,Secondary,282640,301,150614,Divorced,Medical,No
Unemployed,Secondary,459133,652,33408,Divorced,Business,Yes
Business Owner,Masters,88868,386,156859,Divorced,Medical,No
Employed,Diploma,142796,729,178832,Divorced,House,Yes
Employed,Secondary,43852,640,180756,Divorced,Car,Yes
Self-Employed,Diploma,99515,321,43616,Married,Business,Yes
Self-Employed,Masters,148975,311,132526,Divorced,Business,No
Self-Employed,Secondary,363594,693,151739,Married,School,No
Self-Employed,Diploma,347655,435,144270,Divorced,Business,No
Unemployed,Degree,202687,688,150192,Single,Business,Yes
Business Owner,Masters,350102,569,1875,Single,Business,Yes
Business Owner,Degree,234420,598,160956,Single,School,Yes
Self-Employed,Secondary,99994,552,158853,Divorced,Business,No
Business Owner,Diploma,456526,825,16613,Divorced,Medical,Yes
Business Owner,Masters,352181,398,48975,Divorced,Business,No
Employed,Masters,468009,386,5294,Single,Business,No
Employed,Masters,472006,605,24818,Divorced,House,Yes
Employed,Masters,95669,736,109158,Single,School,Yes
Unemployed,Masters,314474,337,152244,Divorced,Business,No
Unemployed,Masters,378776,805,186578,Divorced,School,No
Unemployed,Degree,123258,798,34101,Married,Business,Yes
Self-Employed,Secondary,267521,807,118311,Single,Car,Yes
Business Owner,Diploma,237293,325,172359,Divorced,School,No
Self-Employed,Degree,236386,358,162400,Single,Car,Yes
Business Owner,Masters,438570,675,191848,Single,House,No
Self-Employed,Secondary,444938,395,177562,Married,House,No
Unemployed,Masters,435172,487,155447,Single,Car,No
Unemployed,Masters,226812,836,134004,Divorced,Business,No
Employed,Masters,343756,372,28052,Married,School,Yes
Business Owner,Secondary,466023,489,133372,Single,School,No
Unemployed,Masters,114149,716,87558,Divorced,Car,Yes
Business Owner,Diploma,238673,334,148467,Married,House,No
Self-Employed,Masters,352770,393,71551,Single,Car,No
Employed,Diploma,151608,757,131152,Single,House,Yes
Unemployed,Diploma,440078,621,8971,Single,House,Yes
Employed,Diploma,253588,519,94076,Married,Medical,Yes
Unemployed,Diploma,243776,605,63263,Single,House,Yes
Business Owner,Masters,111444,565,100521,Married,School,Yes
Unemployed,Masters,200422,327,174021,Single,School,No
Self-Employed,Secondary,197477,529,20605,Divorced,Business,Yes
Self-Employed,Diploma,158015,302,162567,Divorced,School,No
Unemployed,Secondary,100191,797,87826,Single,House,Yes
Employed,Diploma,323313,317,169773,Married,Car,No
Self-Employed,Masters,282883,550,134928,Married,Car,No
Business Owner,Masters,479145,564,54600,Divorced,House,Yes
Unemployed,Secondary,47571,827,184521,Married,Business,No
Employed,Diploma,207654,471,7218,Married,Medical,Yes
Business Owner,Masters,329577,418,51858,Married,Business,Yes
Self-Employed,Degree,172996,598,170420,Married,Car,Yes
Unemployed,Diploma,329611,567,167865,Divorced,Car,No
Unemployed,Diploma,61542,696,170419,Divorced,Car,No
Employed,Degree,328666,660,195288,Single,House,Yes
Business Owner,Masters,227601,719,129564,Married,House,No
Self-Employed,Secondary,452294,565,4950,Single,School,Yes
Self-Employed,Diploma,326478,795,118299,Married,Medical,Yes
Business Owner,Diploma,71278,746,110933,Divorced,House,No
Self-Employed,Secondary,199047,750,81420,Divorced,Car,Yes
Unemployed,Degree,408015,302,95981,Married,House,Yes
Business Owner,Diploma,32554,542,192272,Divorced,Business,No
Self-Employed,Secondary,365807,488,194579,Divorced,School,No
Business Owner,Diploma,466211,491,155781,Married,Business,No
Business Owner,Secondary,465281,756,97841,Divorced,Business,Yes
Employed,Secondary,455804,333,146814,Divorced,Car,No
Business Owner,Degree,373368,605,140785,Single,Business,Yes
Unemployed,Diploma,477630,426,151515,Single,School,No
Employed,Degree,84357,809,164870,Divorced,Car,Yes
Employed,Secondary,286542,478,117430,Divorced,Car,Yes
Unemployed,Secondary,475319,526,36135,Married,Car,Yes
Business Owner,Masters,245291,623,125450,Married,House,No
Employed,Masters,58395,397,155321,Married,School,No
Self-Employed,Degree,303196,743,196630,Divorced,Medical,Yes
Business Owner,Diploma,449953,527,168787,Divorced,Medical,No
Self-Employed,Diploma,375815,377,140489,Married,House,No
Unemployed,Masters,273225,621,189547,Single,Business,No
Employed,Masters,266163,519,182378,Married,Car,Yes
Business Owner,Diploma,193091,815,91172,Single,Business,Yes
Business Owner,Degree,85748,613,3397,Divorced,Car,Yes
Unemployed,Diploma,84368,536,31062,Single,School,Yes
Self-Employed,Degree,362761,569,91580,Single,Car,Yes
Self-Employed,Masters,425543,772,14214,Single,Car,Yes
Business Owner,Degree,234714,323,6365,Single,Car,Yes
Self-Employed,Secondary,120157,548,138872,Single,School,No
Unemployed,Secondary,42346,345,70109,Married,Car,Yes
Business Owner,Secondary,44639,387,177183,Divorced,School,No
Unemployed,Degree,247549,683,132894,Single,Medical,Yes
Business Owner,Degree,186525,734,70116,Single,House,Yes
Employed,Secondary,450738,574,144622,Single,Car,Yes
Business Owner,Diploma,364560,303,113731,Married,Car,No
Unemployed,Secondary,451595,559,48752,Divorced,Business,Yes
Unemployed,Diploma,93845,492,75887,Single,Business,Yes
Business Owner,Diploma,95057,638,20681,Divorced,House,Yes
Self-Employed,Diploma,323531,845,183259,Married,Car,No
Employed,Masters,186820,371,116035,Married,Car,No
Self-Employed,Masters,356813,463,81899,Divorced,Business,No
Employed,Secondary,322627,780,156453,Single,Business,Yes
Unemployed,Degree,313152,824,147612,Single,Business,Yes
Business Owner,Masters,396676,318,193174,Divorced,Business,No
Employed,Secondary,239385,513,135657,Married,House,Yes
Self-Employed,Degree,313272,816,54977,Divorced,Business,Yes
Employed,Degree,219195,530,27182,Divorced,School,Yes
Business Owner,Secondary,483254,776,181815,Single,House,No
Self-Employed,Degree,467572,548,33521,Married,School,Yes
Business Owner,Degree,137956,592,121867,Single,Medical,Yes
Self-Employed,Masters,264132,833,173399,Married,School,No
Self-Employed,Secondary,109862,636,60178,Single,House,Yes
Self-Employed,Secondary,75255,477,119374,Divorced,Medical,No
Business Owner,Secondary,315339,741,150840,Married,Car,No
Business Owner,Secondary,307367,494,114145,Married,Car,Yes
Unemployed,Secondary,248653,781,194122,Single,House,No
Employed,Masters,264767,635,164179,Divorced,House,Yes
Unemployed,Degree,95547,659,183892,Single,Car,Yes
Unemployed,Masters,112269,423,16808,Single,Car,No
Unemployed,Degree,168836,736,48533,Married,Car,Yes
Business Owner,Masters,432130,782,191857,Married,Medical,No
Employed,Degree,202001,640,39002,Divorced,Medical,Yes
Unemployed,Degree,325303,581,179343,Single,Medical,Yes
Employed,Degree,489148,706,193248,Married,Medical,Yes
Business Owner,Degree,76097,664,50862,Married,House,Yes
Self-Employed,Degree,388198,749,18263,Married,School,Yes
Business Owner,Secondary,376252,719,152094,Divorced,House,No
Unemployed,Masters,426449,385,186992,Married,Car,No
Employed,Masters,222741,795,116899,Single,Medical,Yes
Self-Employed,Diploma,152645,323,80547,Single,Car,No
Employed,Diploma,368154,353,144137,Single,Medical,No
Employed,Masters,283327,612,21848,Divorced,Medical,Yes
Unemployed,Diploma,244535,429,28518,Divorced,House,No
Self-Employed,Secondary,148236,440,3508,Single,School,No
Employed,Diploma,113200,755,49098,Divorced,House,Yes
Self-Employed,Masters,287298,660,136830,Single,Car,No
Unemployed,Masters,355298,678,155876,Divorced,Car,No
Business Owner,Masters,308322,531,148754,Married,House,No
Unemployed,Degree,171308,436,169653,Single,School,Yes
Self-Employed,Diploma,383061,324,139782,Married,Medical,No
Unemployed,Diploma,199337,638,41002,Married,House,Yes
Business Owner,Diploma,164266,327,171964,Married,Business,No
Business Owner,Masters,76649,638,142107,Divorced,Medical,No
Self-Employed,Masters,242172,385,126164,Married,Medical,No
Employed,Diploma,133692,502,182769,Married,School,Yes
Employed,Degree,106571,654,178293,Divorced,Business,Yes
Self-Employed,Secondary,263735,370,75440,Single,Business,No
Employed,Secondary,496385,610,30807,Single,School,Yes
Unemployed,Secondary,49185,712,99482,Divorced,Medical,No
Self-Employed,Masters,262696,718,84983,Married,School,Yes
Employed,Diploma,248904,326,45149,Divorced,House,No
Business Owner,Secondary,113548,605,79689,Married,House,Yes
Business Owner,Masters,84805,790,197410,Single,Business,No
Self-Employed,Degree,334045,454,54746,Married,Car,Yes
Unemployed,Secondary,64088,385,111117,Single,Medical,No
Business Owner,Degree,323805,691,110809,Married,Business,Yes
Unemployed,Secondary,413903,302,144960,Married,School,No
Self-Employed,Diploma,299471,685,12886,Married,Business,Yes
Employed,Secondary,286489,722,15789,Single,House,Yes
Self-Employed,Degree,430382,340,145197,Single,Car,Yes
Unemployed,Secondary,415517,707,121487,Married,Car,No
Employed,Diploma,234423,690,196019,Divorced,Medical,Yes
Employed,Diploma,222338,779,110022,Single,House,Yes
Unemployed,Degree,288319,328,65081,Married,House,Yes
Employed,Diploma,482439,705,146970,Single,Medical,Yes
Self-Employed,Secondary,235167,302,114986,Divorced,House,No
Business Owner,Diploma,303403,450,14482,Divorced,Medical,No
Employed,Degree,472090,715,169193,Married,Business,Yes
Employed,Degree,62607,364,2240,Single,School,No
Unemployed,Degree,264734,668,94387,Single,House,Yes
Employed,Diploma,340198,590,10062,Married,Medical,Yes
Business Owner,Diploma,312838,497,185319,Divorced,School,No
Employed,Diploma,383210,633,102872,Divorced,Car,Yes
Business Owner,Masters,445344,332,50367,Single,House,No
Business Owner,Degree,120257,789,114521,Single,School,Yes
Unemployed,Masters,194792,301,52853,Single,Business,No
Unemployed,Secondary,88158,816,190447,Married,Medical,No
Employed,Masters,117658,369,22415,Married,Business,Yes
Employed,Secondary,210738,772,9547,Married,House,Yes
Business Owner,Secondary,135764,702,20928,Divorced,Car,Yes
Self-Employed,Diploma,473000,827,5844,Divorced,School,Yes
Employed,Degree,408389,742,153379,Single,Business,Yes
Unemployed,Diploma,108070,417,58958,Single,House,No
Employed,Secondary,167583,622,197064,Divorced,Medical,Yes
Unemployed,Diploma,78577,319,22071,Married,School,Yes
Business Owner,Diploma,266816,532,105022,Divorced,Medical,Yes
Business Owner,Degree,482546,627,198002,Single,Business,Yes
Business Owner,Secondary,88487,490,65154,Divorced,Car,Yes
Self-Employed,Masters,465290,378,103438,Married,Medical,No
Employed,Masters,104319,676,171795,Married,Car,Yes
Business Owner,Masters,312515,830,124607,Single,School,No
Employed,Masters,372795,545,125480,Divorced,School,Yes
Employed,Diploma,310163,371,109940,Married,Medical,No
Self-Employed,Secondary,270234,692,155046,Divorced,House,No
Employed,Degree,300215,561,72655,Single,House,Yes
Unemployed,Degree,43091,328,183350,Married,Business,No
Business Owner,Secondary,45745,747,100994,Single,Car,No
Employed,Degree,71649,438,130690,Married,Car,Yes
Unemployed,Masters,162639,829,59240,Married,Medical,Yes
Business Owner,Diploma,456307,441,74811,Married,House,Yes
Employed,Diploma,297833,333,126423,Married,Medical,No
Unemployed,Secondary,100673,395,173933,Divorced,Business,No
Unemployed,Secondary,83026,677,157324,Divorced,House,No
Business Owner,Diploma,211391,488,25844,Single,Medical,Yes
Business Owner,Masters,264577,490,180306,Married,Car,No
Self-Employed,Secondary,35468,592,72431,Divorced,Medical,No
Self-Employed,Diploma,462468,448,5283,Single,School,No
Self-Employed,Masters,330450,593,19107,Married,Car,Yes
Employed,Masters,350503,456,6049,Divorced,House,Yes
Unemployed,Degree,199163,402,186500,Single,House,Yes
Self-Employed,Secondary,42151,812,161209,Divorced,Car,No
Unemployed,Diploma,102571,606,34112,Single,House,Yes
Business Owner,Secondary,439614,574,180594,Divorced,School,No
Self-Employed,Degree,36328,728,53759,Married,School,Yes
Self-Employed,Masters,172107,796,156276,Single,School,No
Business Owner,Secondary,119005,723,143148,Divorced,Business,No
Self-Employed,Diploma,397556,804,110768,Divorced,School,Yes
Unemployed,Masters,305134,451,176509,Married,Medical,No
Business Owner,Degree,363696,446,26061,Divorced,School,Yes
Unemployed,Degree,391951,785,97111,Married,Business,Yes
Business Owner,Masters,386161,639,57765,Single,House,Yes
Unemployed,Diploma,176704,586,128918,Single,Medical,No
Self-Employed,Masters,185219,689,93972,Single,Business,Yes
Business Owner,Diploma,127141,374,68866,Single,House,No
Self-Employed,Masters,297413,390,156880,Single,School,No
Self-Employed,Masters,140741,315,39944,Married,School,Yes
Unemployed,Secondary,382984,727,50939,Divorced,Car,Yes
Employed,Secondary,93532,737,161348,Divorced,School,Yes
Self-Employed,Degree,83001,593,105503,Married,House,Yes
Employed,Degree,341921,694,70055,Divorced,Car,Yes
Business Owner,Masters,249448,511,140241,Single,House,No
Business Owner,Degree,278442,694,85942,Divorced,Car,Yes
Unemployed,Masters,375634,729,146445,Divorced,Car,No
Employed,Secondary,487874,582,185356,Divorced,Business,Yes
Business Owner,Secondary,307655,793,32401,Divorced,Business,Yes
Self-Employed,Degree,270682,596,133975,Single,Business,Yes
Unemployed,Degree,344778,457,103867,Divorced,Car,Yes
Employed,Diploma,164541,613,53533,Divorced,Car,Yes
Employed,Degree,345246,602,192325,Married,Medical,Yes
Self-Employed,Masters,323933,413,33741,Divorced,Medical,No
Employed,Masters,295658,435,59747,Single,Medical,No
Employed,Diploma,41247,811,72874,Single,Car,Yes
Self-Employed,Degree,30017,308,137506,Divorced,Medical,No
Self-Employed,Masters,248420,437,82555,Married,House,Yes
Unemployed,Diploma,107765,366,165529,Divorced,House,No
Unemployed,Diploma,98343,721,10527,Single,Car,Yes
Business Owner,Secondary,357102,696,64562,Married,School,Yes
Employed,Diploma,350072,710,116735,Single,Car,Yes
Employed,Secondary,457791,357,11610,Single,School,No
Self-Employed,Diploma,413268,431,106345,Divorced,School,No
Self-Employed,Diploma,76239,609,10190,Married,Medical,Yes
Unemployed,Diploma,201021,367,185728,Married,Car,No
Self-Employed,Degree,202534,782,42470,Married,Medical,Yes
Self-Employed,Degree,483046,845,72911,Divorced,Car,Yes
Unemployed,Secondary,279058,568,137135,Single,Medical,No
Self-Employed,Degree,274916,394,196848,Single,School,Yes
